Title,Salary,Date Posted,Location,Closing Date,Link
Construction SurveyorRamasawmy & Ramasawmy Co Ltd,Negotiable,07/08/2025,Mauritius,06/09/2025,https://www.myjob.mu/Jobs/Construction-Surveyor-196450.aspx
Stock ControllerTheBrandHouse Ltd,Negotiable,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Stock-Controller-196449.aspx
Technical assistantVeranda Palmar Beach Hotel,Negotiable,07/08/2025,Flacq,06/09/2025,https://www.myjob.mu/Jobs/Technical-assistant-196447.aspx
Admin Coordinator - 241784DHL Global Forwarding (Mauritius) Ltd,Negotiable,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Admin-Coordinator-241784-196445.aspx
Logistics ClerkMeaders Feeds Ltd,"10,000 - 20,000",07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Logistics-Clerk-196444.aspx
Gestionnaire de facturationCHRONOPOST MAURITIUS LTD,"10,000 - 20,000",07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Gestionnaire-de-facturation-196443.aspx
Senior Manager Multi service DeskOrange Business Services Mauritius Limited,Not disclosed,07/08/2025,Plaine Wilhems,06/09/2025,https://www.myjob.mu/Jobs/Senior-Manager-Multi-service-Desk-196442.aspx
HSC LeaversBDO Solutions Ltd,Not disclosed,07/08/2025,Mauritius,06/09/2025,https://www.myjob.mu/Jobs/HSC-Leavers-196441.aspx
Quality Control Review Analyst [RR000206]BDO Solutions Ltd,Negotiable,07/08/2025,Moka,06/09/2025,https://www.myjob.mu/Jobs/Quality-Control-Review-Analyst-RR000206-196439.aspx
Project EngineerRey & Lenferna Ltd,Negotiable,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Project-Engineer-196437.aspx
Customer Success Executive (Trianon and Rose Belle)Mari Deal Ltd,Negotiable,07/08/2025,Mauritius,06/09/2025,https://www.myjob.mu/Jobs/Customer-Success-Executive-Trianon-and-196434.aspx
Supervisor (Airconditioning)Rey & Lenferna Ltd,Negotiable,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Supervisor-Airconditioning-196433.aspx
Cost ControllerHeritage Le Telfair Golf & Wellness Resort,Negotiable,06/08/2025,Savanne,05/09/2025,https://www.myjob.mu/Jobs/Cost-Controller-196429.aspx
Spa attendantTamarina Golf and Spa Boutique Hotel (medine),Not disclosed,06/08/2025,Black River,05/09/2025,https://www.myjob.mu/Jobs/Spa-attendant-196428.aspx
Hotel Maintenance AssistantTamarina Golf and Spa Boutique Hotel (medine),Not disclosed,06/08/2025,Black River,05/09/2025,https://www.myjob.mu/Jobs/Hotel-Maintenance-Assistant-196427.aspx
Assistant Manager - Pension AdministrationImperium Holdings Limited,Negotiable,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Assistant-Manager-Pension-Administration-196426.aspx
Graphic DesignerImperium Holdings Limited,Negotiable,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Graphic-Designer-196425.aspx
Head of Talent AcquisitionC-Care (Mauritius) Ltd,Negotiable,06/08/2025,Moka,05/09/2025,https://www.myjob.mu/Jobs/Head-of-Talent-Acquisition-196424.aspx
Human Resources ExecutivePhoenixBev,Not disclosed,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Human-Resources-Executive-196423.aspx
Patient Service Excellence LeadC-Care (Mauritius) Ltd,Negotiable,06/08/2025,Moka,05/09/2025,https://www.myjob.mu/Jobs/Patient-Service-Excellence-Lead-196421.aspx
Beach WaiterOne&Only Le Saint Geran,"21,000 - 30,000",06/08/2025,Flacq,05/09/2025,https://www.myjob.mu/Jobs/Beach-Waiter-196418.aspx
T​h​e​r​a​p​i​s​t​One&Only Le Saint Geran,"21,000 - 30,000",06/08/2025,Flacq,05/09/2025,https://www.myjob.mu/Jobs/Therapist-196417.aspx
Officer Reservation/ AgentOne&Only Le Saint Geran,"21,000 - 30,000",06/08/2025,Flacq,05/09/2025,https://www.myjob.mu/Jobs/Officer-Reservation-Agent-196416.aspx
W​a​i​t​e​r​One&Only Le Saint Geran,Negotiable,06/08/2025,Flacq,05/09/2025,https://www.myjob.mu/Jobs/Waiter-196415.aspx
OPERATIONS MANAGERLogidis Ltd,Negotiable,06/08/2025,Port Louis,05/09/2025,https://www.myjob.mu/Jobs/OPERATIONS-MANAGER-196412.aspx
Assistant(e) Exécutif(ve)HRPRO LTD,Not disclosed,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Assistant-e-Executif-ve-196411.aspx
Technician (Airconditioning)Rey & Lenferna Ltd,Negotiable,06/08/2025,Port Louis,05/09/2025,https://www.myjob.mu/Jobs/Technician-Airconditioning-196409.aspx
Human Resource ManagerPrecision Recruitment International,Negotiable,06/08/2025,Mauritius,05/09/2025,https://www.myjob.mu/Jobs/Human-Resource-Manager-196410.aspx
Front Office SupervisorThe Residence Mauritius,Negotiable,06/08/2025,Flacq,05/09/2025,https://www.myjob.mu/Jobs/Front-Office-Supervisor-196408.aspx
Assistant AccountantR. Mathieu (Opticians) Ltd,Negotiable,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Assistant-Accountant-196406.aspx
MAINTENANCE TECHNICIANThe Oberoi,Negotiable,06/08/2025,Mauritius,05/09/2025,https://www.myjob.mu/Jobs/MAINTENANCE-TECHNICIAN-196403.aspx
Sales Representative - Beau VallonEspace Maison Ltd,Not disclosed,06/08/2025,Grand Port,05/09/2025,https://www.myjob.mu/Jobs/Sales-Representative-Beau-Vallon-196404.aspx
Assistant Storekeeper - TamarinEspace Maison Ltd,Negotiable,06/08/2025,Black River,05/09/2025,https://www.myjob.mu/Jobs/Assistant-Storekeeper-Tamarin-196402.aspx
LAUNDRY & KITCHEN TECHNICIANThe Oberoi,Negotiable,06/08/2025,Mauritius,05/09/2025,https://www.myjob.mu/Jobs/LAUNDRY-KITCHEN-TECHNICIAN-196401.aspx
Mondrain HorticulturistMAURITIAN WILDLIFE FOUNDATION,Negotiable,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Mondrain-Horticulturist-196399.aspx
Sales Representative - ForbachEspace Maison Ltd,Not disclosed,06/08/2025,Riviere du Rempart,05/09/2025,https://www.myjob.mu/Jobs/Sales-Representative-Forbach-196397.aspx
Sales Representative - FlacqEspace Maison Ltd,Not disclosed,06/08/2025,Flacq,05/09/2025,https://www.myjob.mu/Jobs/Sales-Representative-Flacq-196396.aspx
Senior Human Resource OfficerRamasawmy & Ramasawmy Co Ltd,"41,000 - 50,000",06/08/2025,Mauritius,05/09/2025,https://www.myjob.mu/Jobs/Senior-Human-Resource-Officer-196393.aspx
Front End Web Developer (FRCI)ENL,Not disclosed,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Front-End-Web-Developer-FRCI-196392.aspx
Business Solutions Analyst (FRCI)ENL,Negotiable,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Business-Solutions-Analyst-FRCI-196391.aspx
Software Developer (FRCI)ENL,Negotiable,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Software-Developer-FRCI-196390.aspx
Business and Technical Sales Executive (FRCI)ENL,Negotiable,06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Business-and-Technical-Sales-Executive-196387.aspx
Manager - InsuranceHidden Company,Negotiable,06/08/2025,Overseas,05/09/2025,https://www.myjob.mu/Jobs/Manager-Insurance-196385.aspx
Technical Support SpecialistFJtechlab International Ltd,"41,000 - 50,000",06/08/2025,Plaine Wilhems,05/09/2025,https://www.myjob.mu/Jobs/Technical-Support-Specialist-196384.aspx
Office Attendant / Driver (2532-OAD)Alentaris Recruitment Ltd,Negotiable,06/08/2025,Port Louis,05/09/2025,https://www.myjob.mu/Jobs/Office-Attendant-Driver-2532-OAD-196383.aspx
BUYER(S) [Purchasing/Procurement]DHL Mauritius Ltd,Not disclosed,06/08/2025,Port Louis,05/09/2025,https://www.myjob.mu/Jobs/BUYER-S-Purchasing-Procurement-196380.aspx
BUYER [GERMAN SPEAKING MANDATORY]DHL Mauritius Ltd,Not disclosed,06/08/2025,Port Louis,05/09/2025,https://www.myjob.mu/Jobs/BUYER-GERMAN-SPEAKING-MANDATORY-196379.aspx
RPA /AI Junior Software EngineerRogers Capital Management Services,Negotiable,06/08/2025,Moka,05/09/2025,https://www.myjob.mu/Jobs/RPA-AI-Junior-Software-Engineer-196378.aspx
RPA /AI Support Software EngineerRogers Capital Management Services,Negotiable,06/08/2025,Moka,05/09/2025,https://www.myjob.mu/Jobs/RPA-AI-Support-Software-Engineer-196377.aspx
Spa Therapist (Solana Beach Mauritius)Groupe Beau Vallon,Not disclosed,06/08/2025,Flacq,05/09/2025,https://www.myjob.mu/Jobs/Spa-Therapist-Solana-Beach-Mauritius-196375.aspx
Purchasing OfficerRT Knits Ltd,Not disclosed,06/08/2025,Port Louis,05/09/2025,https://www.myjob.mu/Jobs/Purchasing-Officer-196374.aspx
Public Area AttendantHibiscus Boutique Hotel,"10,000 - 20,000",06/08/2025,Pamplemousses,05/09/2025,https://www.myjob.mu/Jobs/Public-Area-Attendant-196373.aspx
E​n​g​i​n​e​e​r​Hidden Company,"76,000 - 100,000",05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/Engineer-196372.aspx
Yoga InstructorMARITIM RESORTS & SPA,Negotiable,05/08/2025,Pamplemousses,04/09/2025,https://www.myjob.mu/Jobs/Yoga-Instructor-196371.aspx
TECHNICIEN(NE) SUPPORT DE PROXIMITE - HDGroupe Vital Ile Maurice Ltd,Negotiable,05/08/2025,Moka,04/09/2025,https://www.myjob.mu/Jobs/TECHNICIEN-NE-SUPPORT-DE-PROXIMITE-196370.aspx
IT Asset Management AnalystCFAO SERVICES LTD,Not disclosed,05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/IT-Asset-Management-Analyst-196369.aspx
COMMUNITY MANAGER ET ASSISTANT(E) ADMINISTRATIFGroupe Vital Ile Maurice Ltd,Negotiable,05/08/2025,Moka,04/09/2025,https://www.myjob.mu/Jobs/COMMUNITY-MANAGER-ET-ASSISTANT-E-196368.aspx
S​t​o​r​e​k​e​e​p​e​r​Globalcom Co Ltd,Negotiable,05/08/2025,Plaine Wilhems,04/09/2025,https://www.myjob.mu/Jobs/Storekeeper-196367.aspx
Lead Accounting - F/M/XMantu Group (Amaris Consulting),Negotiable,05/08/2025,Plaine Wilhems,04/09/2025,https://www.myjob.mu/Jobs/Lead-Accounting-F-M-X-196365.aspx
H​a​n​d​y​m​a​n​OUTRIGGER Mauritius Beach Resort,Not disclosed,05/08/2025,Savanne,04/09/2025,https://www.myjob.mu/Jobs/Handyman-196364.aspx
Head Waiter / Head Waitress (Solana Beach Mauritius)Groupe Beau Vallon,Not disclosed,05/08/2025,Flacq,04/09/2025,https://www.myjob.mu/Jobs/Head-Waiter-Head-Waitress-Solana-196362.aspx
Junior Investment Data Operator (2532-JIDO)Alentaris Recruitment Ltd,Negotiable,05/08/2025,Plaine Wilhems,04/09/2025,https://www.myjob.mu/Jobs/Junior-Investment-Data-Operator-2532-196358.aspx
Showroom Representative - Grand Baie (Grewals &JMD INT Ltd)ENL,Not disclosed,05/08/2025,Pamplemousses,04/09/2025,https://www.myjob.mu/Jobs/Showroom-Representative-Grand-Baie-Grewals-196357.aspx
R​e​c​e​p​t​i​o​n​i​s​t​Belle Riviere hotel ltd,Negotiable,05/08/2025,Mauritius,04/09/2025,https://www.myjob.mu/Jobs/Receptionist-196356.aspx
Supermarket ManagerLi Wan Po & Co. Ltd,Negotiable,05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/Supermarket-Manager-196353.aspx
Sales ManagerLi Wan Po & Co. Ltd,Negotiable,05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/Sales-Manager-196355.aspx
Chief Operations OfficerHidden Company,Negotiable,05/08/2025,Overseas,04/09/2025,https://www.myjob.mu/Jobs/Chief-Operations-Officer-196354.aspx
Administrative Officer (2524-AOF)Alentaris Recruitment Ltd,"21,000 - 30,000",05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/Administrative-Officer-2524-AOF-196352.aspx
Chef de PartieAirport Hotel Ltd (Holiday Inn),Not disclosed,05/08/2025,Grand Port,04/09/2025,https://www.myjob.mu/Jobs/Chef-de-Partie-196351.aspx
Sous ChefAirport Hotel Ltd (Holiday Inn),Not disclosed,05/08/2025,Grand Port,04/09/2025,https://www.myjob.mu/Jobs/Sous-Chef-196350.aspx
Warehouse ManagerAldrex Suppliers Ltd,Negotiable,05/08/2025,Black River,04/09/2025,https://www.myjob.mu/Jobs/Warehouse-Manager-196348.aspx
Front Office SupervisorVeranda Paul & Virginie Hotel & Spa,Not disclosed,05/08/2025,Riviere du Rempart,04/09/2025,https://www.myjob.mu/Jobs/Front-Office-Supervisor-196345.aspx
Accounts ClerkAW Wong Ltd,Not disclosed,05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/Accounts-Clerk-196342.aspx
C​a​s​h​i​e​r​Tamassa Resort,Not disclosed,05/08/2025,Savanne,04/09/2025,https://www.myjob.mu/Jobs/Cashier-196344.aspx
S​t​o​r​e​k​e​e​p​e​r​Hidden Company,"21,000 - 30,000",05/08/2025,Riviere du Rempart,04/09/2025,https://www.myjob.mu/Jobs/Storekeeper-196343.aspx
C​a​s​h​i​e​r​TheBrandHouse Ltd,Negotiable,05/08/2025,Pamplemousses,04/09/2025,https://www.myjob.mu/Jobs/Cashier-196341.aspx
Driver - Goods VehicleTheBrandHouse Ltd,Negotiable,05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/Driver-Goods-Vehicle-196340.aspx
Mail Collection OfficerIntrum Mauritius,"21,000 - 30,000",05/08/2025,Mauritius,04/09/2025,https://www.myjob.mu/Jobs/Mail-Collection-Officer-196337.aspx
Lead Java Developer/Associate ExpertELCA,Not disclosed,05/08/2025,Moka,04/10/2025,https://www.myjob.mu/Jobs/Lead-Java-Developer-Associate-Expert-196335.aspx
QUALITY IN CHARGE- KNITTINGRT Knits Ltd,Not disclosed,05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/QUALITY-IN-CHARGE-KNITTING-196331.aspx
Spa TherapistTamassa Resort,"10,000 - 20,000",05/08/2025,Savanne,04/09/2025,https://www.myjob.mu/Jobs/Spa-Therapist-196329.aspx
Guest Relations Officer (4 months Contract)Tamassa Resort,Negotiable,05/08/2025,Savanne,04/09/2025,https://www.myjob.mu/Jobs/Guest-Relations-Officer-4-months-196328.aspx
Chargé de Cours en Communication (Lecturer)MCCI Business School,Negotiable,05/08/2025,Plaine Wilhems,04/09/2025,https://www.myjob.mu/Jobs/Charge-de-Cours-en-Communication-196327.aspx
NOC SpecialistRogers Capital Management Services,Negotiable,05/08/2025,Plaine Wilhems,04/09/2025,https://www.myjob.mu/Jobs/NOC-Specialist-196324.aspx
TRANSPORT & ADMINISTRATIVE CLERKPHARMACIE NOUVELLE LTD,Not disclosed,05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/TRANSPORT-ADMINISTRATIVE-CLERK-196323.aspx
PR & MARKETING EXECUTIVELUX* Belle Mare,Not disclosed,05/08/2025,Flacq,04/09/2025,https://www.myjob.mu/Jobs/PR-MARKETING-EXECUTIVE-196322.aspx
Site StorekeeperRey & Lenferna Ltd,Negotiable,05/08/2025,Port Louis,04/09/2025,https://www.myjob.mu/Jobs/Site-Storekeeper-196321.aspx
ACCOUNTS OFFICERHELIUM BUSINESS SOLUTIONS LTD,"21,000 - 30,000",05/08/2025,Black River,04/09/2025,https://www.myjob.mu/Jobs/ACCOUNTS-OFFICER-196320.aspx
Financial Accountant - RemoteHidden Company,Negotiable,05/08/2025,Mauritius,04/09/2025,https://www.myjob.mu/Jobs/Financial-Accountant-Remote-196318.aspx
Resident Medical OfficerC-Care (Mauritius) Ltd,Not disclosed,05/08/2025,Plaine Wilhems,04/09/2025,https://www.myjob.mu/Jobs/Resident-Medical-Officer-196316.aspx
Beach BoysLUX* Belle Mare,Not disclosed,05/08/2025,Flacq,04/09/2025,https://www.myjob.mu/Jobs/Beach-Boys-196312.aspx
Security OfficerLUX* Belle Mare,Not disclosed,05/08/2025,Flacq,04/09/2025,https://www.myjob.mu/Jobs/Security-Officer-196311.aspx
sous Chef  (Pastry)LUX* Belle Mare,Not disclosed,05/08/2025,Flacq,04/09/2025,https://www.myjob.mu/Jobs/sous-Chef-Pastry-196310.aspx
Assist. Gest. Copro & Assoc. FoncièreHidden Company,"31,000 - 40,000",05/08/2025,Pamplemousses,05/09/2025,https://www.myjob.mu/Jobs/Assist-Gest-Copro-Assoc-Fonciere-196304.aspx
Assistant AccountantNewrest Group,Not disclosed,05/08/2025,Grand Port,04/09/2025,https://www.myjob.mu/Jobs/Assistant-Accountant-196303.aspx
CUSTOMER RELATIONS OFFICERHELIUM BUSINESS SOLUTIONS LTD,"21,000 - 30,000",05/08/2025,Black River,04/09/2025,https://www.myjob.mu/Jobs/CUSTOMER-RELATIONS-OFFICER-196302.aspx
HR  AND L&D OFFICERREHM Grinaker Construction Company Ltd,Negotiable,05/08/2025,Pamplemousses,04/09/2025,https://www.myjob.mu/Jobs/HR-AND-L-D-OFFICER-196300.aspx
Maintenance Assistant Grade AThe Oberoi,Not disclosed,05/08/2025,Mauritius,04/09/2025,https://www.myjob.mu/Jobs/Maintenance-Assistant-Grade-A-196298.aspx
Public Area CleanerLUX* Grand Gaube,Not disclosed,05/08/2025,Pamplemousses,04/09/2025,https://www.myjob.mu/Jobs/Public-Area-Cleaner-196292.aspx
C​o​o​k​LUX* Grand Gaube,Not disclosed,05/08/2025,Riviere du Rempart,04/09/2025,https://www.myjob.mu/Jobs/Cook-196291.aspx
Housekeeping AttendantLUX* Grand Gaube,Not disclosed,05/08/2025,Riviere du Rempart,04/09/2025,https://www.myjob.mu/Jobs/Housekeeping-Attendant-196290.aspx
