title,salary,date_posted,location,closing_date,days_open,posted_month,posted_year,closing_month,closing_year
r e c e p t i o n i s t gm punjabi co ltd,15000.0,2025-08-25,pamplemousses,2025-09-24,30,8,2025,9,2025
carpenters or carpenters helpers menuisier ou aide menuisiersags frasers mauritius ltd,25500.0,2025-08-25,pamplemousses,2025-09-24,30,8,2025,9,2025
administrative assistantsglossal holdings ltd,15000.0,2025-08-19,plaine wilhems,2025-09-18,30,8,2025,9,2025
sales activity managerags frasers mauritius ltd,35500.0,2025-08-25,pamplemousses,2025-09-24,30,8,2025,9,2025
chauffeur camion heavy goods truck driverags frasers mauritius ltd,35500.0,2025-08-25,pamplemousses,2025-09-24,30,8,2025,9,2025
helpers manutentionaires demenageursags frasers mauritius ltd,25500.0,2025-08-25,pamplemousses,2025-09-24,30,8,2025,9,2025
coordinatrice logistique et transport suivi clienteleags frasers mauritius ltd,25500.0,2025-08-25,pamplemousses,2025-09-24,30,8,2025,9,2025
store adminsik yuen,15000.0,2025-08-23,plaine wilhems,2025-09-22,30,8,2025,9,2025
conseiller en mission d appelscanal contact ltd,25500.0,2025-08-22,plaine wilhems,2025-09-21,30,8,2025,9,2025
femme de m nage et garde d enfants domicile parissci sam ltee,45500.0,2025-08-22,overseas,2025-09-21,30,8,2025,9,2025
quality officerhidden company,45500.0,2025-08-22,port louis,2025-09-21,30,8,2025,9,2025
serveur serveuse exp riment e a mayottesci sam ltee,63000.0,2025-08-22,overseas,2025-09-21,30,8,2025,9,2025
sp cialiste de la relation clientdelo by domeau,25500.0,2025-08-22,riviere du rempart,2025-09-21,30,8,2025,9,2025
charg e de relation apprenant f h studi,25500.0,2025-08-22,plaine wilhems,2025-09-21,30,8,2025,9,2025
h o s t e s s constance prince maurice,15000.0,2025-08-22,flacq,2025-09-21,30,8,2025,9,2025
administrateur si windows s nioroutremer telecom digital solutions,63000.0,2025-08-22,plaine wilhems,2025-09-21,30,8,2025,9,2025
comptable caisse banking junioroutremer telecom digital solutions,25500.0,2025-08-22,plaine wilhems,2025-09-21,30,8,2025,9,2025
comptable clients et tr sorerieoutremer telecom digital solutions,25500.0,2025-08-22,plaine wilhems,2025-09-21,30,8,2025,9,2025
commercial s dentaire f h studi,35500.0,2025-08-21,mauritius,2025-09-20,30,8,2025,9,2025
t l conseillers service client chronopost mauritius ltd,25500.0,2025-08-21,port louis,2025-09-20,30,8,2025,9,2025
web developer wde alentaris recruitment ltd,25500.0,2025-08-21,moka,2025-09-20,30,8,2025,9,2025
showroom teller cashier alpha group,15000.0,2025-08-21,moka,2025-09-20,30,8,2025,9,2025
assistant site managernoveprim ltd,45500.0,2025-08-21,grand port,2025-09-20,30,8,2025,9,2025
coldroom storekeeperhidden company,45500.0,2025-08-21,port louis,2025-09-20,30,8,2025,9,2025
production supervisorhidden company,35500.0,2025-08-21,port louis,2025-09-20,30,8,2025,9,2025
quality controllerhidden company,35500.0,2025-08-21,port louis,2025-09-20,30,8,2025,9,2025
sales medical representativemauripharm ltd,25500.0,2025-08-21,port louis,2025-09-20,30,8,2025,9,2025
customer service specialist englishhidden company,35500.0,2025-08-21,plaine wilhems,2025-09-20,30,8,2025,9,2025
premium administratoratlas management services,35500.0,2025-08-21,pamplemousses,2025-09-20,30,8,2025,9,2025
store helperabc automobile,15000.0,2025-08-21,port louis,2025-09-20,30,8,2025,9,2025
canteen attendantone only le saint geran,15000.0,2025-08-21,flacq,2025-09-20,30,8,2025,9,2025
gestionnaire en assurance auto moto habitationssd prestation ltd,25500.0,2025-08-21,plaine wilhems,2025-09-20,30,8,2025,9,2025
e s t i m a t o r hidden company,35500.0,2025-08-21,black river,2025-09-21,31,8,2025,9,2025
full stack developermsc call center ltd,88000.0,2025-08-20,plaine wilhems,2025-09-19,30,8,2025,9,2025
backend developermsc call center ltd,88000.0,2025-08-20,plaine wilhems,2025-09-19,30,8,2025,9,2025
w a i t e r veranda tamarin hotel,15000.0,2025-08-20,black river,2025-09-19,30,8,2025,9,2025
b a r t e n d e r veranda tamarin hotel,15000.0,2025-08-20,black river,2025-09-19,30,8,2025,9,2025
accounts traineerogers capital management services,15000.0,2025-08-20,port louis,2025-09-19,30,8,2025,9,2025
corporate and trust administratorhidden company,63000.0,2025-08-20,riviere du rempart,2025-09-12,23,8,2025,9,2025
indoor sales cum admin clerk isac alentaris recruitment ltd,25500.0,2025-08-20,plaine wilhems,2025-09-19,30,8,2025,9,2025
sea export officertrust logistics ltd,25500.0,2025-08-20,port louis,2025-09-19,30,8,2025,9,2025
it support specialisthidden company,45500.0,2025-08-20,plaine wilhems,2025-09-17,28,8,2025,9,2025
c a r p e n t e r hidden company,25500.0,2025-08-20,plaine wilhems,2025-09-19,30,8,2025,9,2025
s t o r e k e e p e r hidden company,25500.0,2025-08-20,riviere du rempart,2025-09-20,31,8,2025,9,2025
administration officergamma materials ltd,25500.0,2025-08-18,black river,2025-09-17,30,8,2025,9,2025
human resources assistantgm punjabi co ltd,15000.0,2025-08-20,pamplemousses,2025-09-19,30,8,2025,9,2025
assistante comptablegroupe bsl maurice lt e,45500.0,2025-08-19,plaine wilhems,2025-09-18,30,8,2025,9,2025
internal auditorautonexx,35500.0,2025-08-19,port louis,2025-09-18,30,8,2025,9,2025
sales technicianhidden company,35500.0,2025-08-19,plaine wilhems,2025-09-18,30,8,2025,9,2025
customer service agentsnetcommerce ltd,25500.0,2025-08-19,mauritius,2025-09-18,30,8,2025,9,2025
